FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
614610, 315791, 32.63, 0.706986, , 
612651, 315782, 32.70, 0.713460, , 
615277, 315802, 32.76, 0.704838, , 
616185, 315824, 32.83, 0.701963, , 
616249, 315827, 32.89, 0.701770, , 
619531, 315907, 32.96, 0.691420, , 
618979, 315880, 33.03, 0.693069, , 
618420, 315837, 33.09, 0.694639, , 
620108, 315813, 33.16, 0.688906, , 
621817, 315889, 33.22, 0.683767, , 
622298, 315810, 33.29, 0.681673, , 
625687, 315831, 33.36, 0.670697, , 
625259, 315613, 33.43, 0.670684, , 
627760, 315651, 33.50, 0.662762, , 
629917, 315669, 33.56, 0.655861, , 
631047, 315720, 33.63, 0.652524, , 
630342, 315792, 33.70, 0.655278, , 
633525, 315805, 33.76, 0.645056, , 
635022, 315842, 33.83, 0.640466, , 
637356, 315829, 33.90, 0.632875, , 
638780, 315848, 33.96, 0.628432, 16, 0.303
639545, 315842, 34.03, 0.625944, , 
639950, 315758, 34.09, 0.624105, , 
641543, 315772, 34.16, 0.619109, , 
641881, 315747, 34.23, 0.617869, , 
644990, 315767, 34.29, 0.608112, , 
646043, 315823, 34.36, 0.605137, , 
643846, 315845, 34.43, 0.612250, , 
648865, 315907, 34.49, 0.596763, , 
648612, 315733, 34.56, 0.596434, , 
649797, 315797, 34.62, 0.593113, , 
651937, 315743, 34.69, 0.586036, , 
651905, 315872, 34.76, 0.586972, , 
653419, 315809, 34.82, 0.581818, , 
655854, 315870, 34.89, 0.574602, , 
654727, 315933, 34.96, 0.578529, , 
656152, 316013, 35.02, 0.574599, , 
656848, 315921, 35.09, 0.571834, , 
656277, 315904, 35.15, 0.573503, , 
659046, 315779, 35.22, 0.564079, , 
659387, 315828, 35.28, 0.563338, , 
658043, 315745, 35.35, 0.566975, , 
660299, 315731, 35.42, 0.559881, , 
661675, 315696, 35.48, 0.555395, , 
659685, 315856, 35.55, 0.562594, , 
660939, 315842, 35.61, 0.558618, , 
662723, 315835, 35.68, 0.553057, , 
660496, 315819, 35.75, 0.559841, , 
662031, 315742, 35.81, 0.554592, , 
661606, 315695, 35.88, 0.555602, , 
659590, 315724, 35.95, 0.562034, , 
659150, 315742, 36.01, 0.563516, , 
659402, 315714, 36.08, 0.562552, 17, 0.302
657285, 315736, 36.15, 0.569275, , 
657258, 315824, 36.21, 0.569929, , 
655664, 315772, 36.28, 0.574560, , 
651790, 315764, 36.34, 0.586634, , 
650565, 315784, 36.41, 0.590612, , 
647741, 315824, 36.48, 0.599773, , 
642017, 315865, 36.54, 0.618200, , 
639761, 315828, 36.61, 0.625163, , 
634339, 315825, 36.68, 0.642558, , 
629241, 315834, 36.74, 0.659127, , 
622993, 315905, 36.81, 0.680005, , 
615375, 315808, 36.87, 0.704551, , 
608098, 316020, 36.94, 0.730264, , 
599030, 315803, 37.01, 0.759600, , 
589386, 315848, 37.07, 0.793101, , 
579035, 315783, 37.14, 0.828933, , 
569235, 315744, 37.21, 0.863607, , 
556577, 315753, 37.27, 0.909678, , 
546022, 315836, 37.33, 0.949391, , 
536448, 315943, 37.40, 0.986279, , 
523971, 315825, 37.47, 1.033666, , 
511325, 315640, 37.53, 1.082455, , 
502010, 315676, 37.61, 1.120307, , 
490301, 315750, 37.68, 1.169076, , 
480930, 315843, 37.74, 1.209164, , 
471749, 315805, 37.81, 1.248356, , 
462102, 315776, 37.87, 1.290443, , 
453537, 315929, 37.94, 1.329715, , 
445660, 315839, 38.01, 1.364981, , 
436972, 315820, 38.07, 1.405140, , 
431850, 315862, 38.14, 1.429537, , 
426325, 315830, 38.20, 1.455676, 18, 0.303
420611, 315759, 38.27, 1.482826, , 
416553, 315824, 38.34, 1.503083, , 
414655, 315878, 38.40, 1.512777, , 
410540, 315970, 38.47, 1.533780, , 
409251, 315980, 38.54, 1.540279, , 
407516, 316057, 38.60, 1.549470, , 
405624, 315933, 38.67, 1.558189, , 
406044, 315734, 38.73, 1.554783, , 
405196, 315640, 38.80, 1.558451, , 
404106, 315851, 38.87, 1.565330, , 
404878, 315896, 38.93, 1.561716, , 
405267, 315828, 39.00, 1.559311, , 
406536, 315768, 39.07, 1.552525, , 
409153, 315719, 39.13, 1.539078, , 
410261, 315747, 39.20, 1.533726, , 
412527, 315803, 39.27, 1.522819, , 
415831, 315746, 39.33, 1.506127, , 
416810, 315844, 39.40, 1.501951, , 
420473, 315938, 39.46, 1.484657, , 
422557, 315935, 39.53, 1.474521, , 
425695, 315938, 39.59, 1.459402, , 
428722, 315781, 39.66, 1.443887, , 
431401, 315858, 39.73, 1.431640, , 
434530, 315848, 39.79, 1.416788, , 
438152, 315880, 39.86, 1.400011, , 
440044, 315813, 39.92, 1.390760, , 
444992, 315847, 39.99, 1.368102, , 
448535, 315901, 40.06, 1.352225, , 
450830, 315847, 40.12, 1.341433, , 
456506, 315987, 40.19, 1.316740, , 
458603, 315903, 40.26, 1.306818, , 
462472, 315832, 40.32, 1.289169, 19, 0.302
467058, 315894, 40.39, 1.269380, , 
468850, 315740, 40.45, 1.260547, , 
473087, 315851, 40.52, 1.242859, , 
476994, 315727, 40.59, 1.225227, , 
479792, 315924, 40.65, 1.214536, , 
481857, 315689, 40.72, 1.204226, , 
486444, 315872, 40.79, 1.186026, , 
488950, 315926, 40.85, 1.175862, , 
493749, 315827, 40.92, 1.155236, , 
497186, 315861, 40.99, 1.141263, , 
498948, 315785, 41.05, 1.133532, , 
502952, 315711, 41.12, 1.116698, , 
506006, 315801, 41.18, 1.104895, , 
507570, 315714, 41.25, 1.098016, , 
511304, 315818, 41.32, 1.083693, , 
515307, 315789, 41.38, 1.067549, , 
515954, 315820, 41.45, 1.065182, , 
520354, 316019, 41.52, 1.049096, , 
522596, 315895, 41.58, 1.039496, , 
524070, 315882, 41.64, 1.033649, , 
525656, 315734, 41.71, 1.026507, , 
529338, 315801, 41.78, 1.012659, , 
531522, 315747, 41.85, 1.003884, , 
535989, 315803, 41.92, 0.987123, , 
537747, 315863, 41.98, 0.980812, , 
539747, 315978, 42.05, 0.973961, , 
543490, 315848, 42.12, 0.958979, , 
545636, 315987, 42.18, 0.951816, , 
547152, 315999, 42.25, 0.946216, , 
549028, 315877, 42.31, 0.938423, , 
549547, 315910, 42.38, 0.936703, , 
551781, 315880, 42.45, 0.928208, 20, 0.304
553212, 315889, 42.51, 0.922967, , 
555133, 315893, 42.58, 0.915900, , 
555630, 315881, 42.65, 0.913991, , 
558004, 315972, 42.71, 0.905857, , 
559688, 315984, 42.78, 0.899769, , 
562123, 315906, 42.85, 0.890381, , 
564120, 315982, 42.91, 0.883617, , 
564076, 315853, 42.98, 0.882941, , 
567221, 315787, 43.04, 0.871137, , 
568117, 315822, 43.11, 0.868135, , 
569122, 315871, 43.18, 0.864836, , 
571247, 315844, 43.24, 0.857035, , 
572183, 315931, 43.31, 0.854249, , 
572345, 315853, 43.38, 0.853164, , 
574576, 315849, 43.44, 0.845178, , 
575173, 315704, 43.51, 0.842114, , 
576003, 315691, 43.57, 0.839079, , 
577803, 315810, 43.64, 0.833466, , 
577715, 315806, 43.71, 0.833752, , 
580825, 315767, 43.77, 0.822514, , 
582756, 315976, 43.84, 0.817077, , 
581780, 315980, 43.91, 0.820532, , 
585115, 315879, 43.98, 0.808183, , 
586402, 315870, 44.05, 0.803629, , 
586852, 315915, 44.11, 0.802351, , 
588745, 315885, 44.18, 0.795567, , 
589847, 315872, 44.25, 0.791656, , 
589350, 316002, 44.31, 0.794223, , 
592994, 315885, 44.37, 0.780853, , 
593245, 316028, 44.44, 0.780913, , 
593724, 316018, 44.51, 0.779197, , 
596048, 316004, 44.57, 0.771113, 21, 0.303
596643, 315886, 44.64, 0.768307, , 
597962, 315927, 44.71, 0.764054, , 
599670, 315928, 44.77, 0.758225, , 
599973, 315870, 44.84, 0.756815, , 
600993, 315977, 44.90, 0.754033, , 
602619, 316105, 44.97, 0.749333, , 
603567, 315993, 45.04, 0.745392, , 
602733, 315871, 45.10, 0.747431, , 
604515, 315874, 45.17, 0.741410, , 
604889, 316053, 45.24, 0.741304, , 
605845, 316064, 45.30, 0.738144, , 
605724, 315865, 45.37, 0.737264, , 
607898, 315978, 45.44, 0.730665, , 
608330, 316065, 45.50, 0.729775, , 
607940, 316052, 45.57, 0.731003, , 
609578, 315926, 45.63, 0.724681, , 
611386, 316036, 45.70, 0.719334, , 
611597, 315984, 45.77, 0.718291, , 
609561, 315840, 45.83, 0.724181, , 
613031, 315844, 45.90, 0.712593, , 
614014, 315868, 45.97, 0.709470, , 
613473, 315851, 46.03, 0.711163, , 
615005, 315906, 46.10, 0.706416, , 
615016, 315828, 46.16, 0.705874, , 
614435, 315938, 46.23, 0.708521, , 
615712, 315893, 46.29, 0.703981, , 
616563, 315820, 46.36, 0.700682, , 
617052, 316115, 46.43, 0.700970, , 
617624, 316034, 46.49, 0.698550, , 
618040, 315980, 46.56, 0.696823, , 
619614, 315893, 46.62, 0.691055, , 
620229, 315944, 46.69, 0.689356, 22, 0.302
618344, 315867, 46.76, 0.695085, , 
620643, 315911, 46.82, 0.687777, , 
620665, 315782, 46.89, 0.686868, , 
620897, 315951, 46.96, 0.687198, , 
621867, 315983, 47.02, 0.684212, , 
622125, 316092, 47.09, 0.684069, , 
620242, 315834, 47.16, 0.688600, , 
622874, 315794, 47.22, 0.679677, , 
622933, 315892, 47.29, 0.680118, , 
622527, 315967, 47.35, 0.681937, , 
624394, 316002, 47.42, 0.676037, , 
624239, 315970, 47.49, 0.676338, , 
624141, 315951, 47.55, 0.676536, , 
625215, 315887, 47.62, 0.672604, , 
625033, 316029, 47.69, 0.674119, , 
625470, 316001, 47.75, 0.672507, , 
625894, 316038, 47.82, 0.671360, , 
626500, 316095, 47.88, 0.669749, , 
624853, 316007, 47.95, 0.674566, , 
625793, 316007, 48.02, 0.671490, , 
625279, 315958, 48.08, 0.672854, , 
625111, 315853, 48.15, 0.672724, , 
625649, 315914, 48.22, 0.671359, , 
627448, 315994, 48.29, 0.666002, , 
626883, 315970, 48.36, 0.667690, , 
625603, 315942, 48.42, 0.671690, , 
627550, 315988, 48.49, 0.665630, , 
627486, 315962, 48.56, 0.665671, , 
627595, 316040, 48.62, 0.665820, , 
625995, 316024, 48.68, 0.670940, , 
627193, 315886, 48.75, 0.666134, , 
627416, 315876, 48.82, 0.665342, 23, 0.303
625764, 315926, 48.88, 0.671060, , 
626668, 315963, 48.95, 0.668346, , 
626269, 315962, 49.02, 0.669643, , 
625640, 316012, 49.08, 0.672023, , 
625383, 315988, 49.15, 0.672708, , 
625773, 315855, 49.21, 0.670571, , 
625660, 315865, 49.28, 0.671005, , 
626128, 315913, 49.35, 0.669786, , 
624037, 315976, 49.41, 0.677039, , 
625553, 315903, 49.48, 0.671601, , 
624709, 315997, 49.55, 0.674973, , 
622679, 315991, 49.61, 0.681593, , 
623325, 315994, 49.68, 0.679491, , 
621597, 315994, 49.74, 0.685171, , 
621053, 315806, 49.81, 0.685745, , 
618786, 315824, 49.88, 0.693344, , 
617053, 315909, 49.94, 0.699633, , 
615506, 315978, 50.01, 0.705216, , 
614524, 316048, 50.08, 0.708937, , 
611743, 315930, 50.14, 0.717453, , 
609423, 315916, 50.21, 0.725137, , 
606477, 315872, 50.27, 0.734767, , 
603348, 315838, 50.34, 0.745131, , 
598558, 315899, 50.41, 0.761835, , 
594526, 315898, 50.47, 0.775658, , 
589315, 315892, 50.54, 0.793632, , 
583781, 315907, 50.61, 0.813034, , 
577196, 315868, 50.67, 0.835993, , 
571268, 316024, 50.74, 0.858126, , 
562632, 316031, 50.80, 0.889339, , 
555775, 315901, 50.87, 0.913587, , 
548861, 316062, 50.93, 0.940243, 24, 0.302
540954, 316074, 51.00, 0.970012, , 
533733, 315983, 51.07, 0.996919, , 
526970, 315912, 51.13, 1.022552, , 
520311, 316015, 51.20, 1.049239, , 
512443, 315939, 51.27, 1.079924, , 
505114, 315851, 51.33, 1.108829, , 
498370, 315914, 51.40, 1.136739, , 
490804, 316069, 51.46, 1.169044, , 
486240, 316030, 51.53, 1.187908, , 
478510, 316036, 51.60, 1.220736, , 
473174, 316061, 51.66, 1.243843, , 
469681, 316151, 51.73, 1.259586, , 
462768, 316063, 51.80, 1.289355, , 
460232, 315909, 51.86, 1.299602, , 
456632, 316044, 51.93, 1.316544, , 
452170, 315938, 51.99, 1.335950, , 
453221, 315942, 52.06, 1.331225, , 
451222, 315872, 52.13, 1.339816, , 
448132, 315896, 52.19, 1.354032, , 
448064, 315847, 52.26, 1.354025, , 
446478, 315908, 52.33, 1.361676, , 
444775, 315907, 52.39, 1.369489, , 
446795, 315881, 52.46, 1.360048, , 
445885, 316021, 52.53, 1.365127, , 
445191, 315890, 52.60, 1.367466, , 
448890, 315800, 52.67, 1.349952, , 
447727, 315850, 52.73, 1.355584, , 
447051, 315878, 52.80, 1.358857, , 
449837, 315941, 52.86, 1.346553, , 
451753, 315922, 52.93, 1.337734, , 
452600, 315874, 53.00, 1.333590, , 
455991, 315879, 53.06, 1.318350, 25, 0.303
457455, 315858, 53.13, 1.311655, , 
457606, 315914, 53.19, 1.311342, , 
460155, 315920, 53.26, 1.300016, , 
461795, 315818, 53.32, 1.292075, , 
463593, 315960, 53.39, 1.285044, , 
466178, 315960, 53.46, 1.273667, , 
467851, 315878, 53.52, 1.265806, , 
469798, 315929, 53.59, 1.257639, , 
472193, 315980, 53.66, 1.247565, , 
473532, 316004, 53.72, 1.241926, , 
475148, 316033, 53.79, 1.235143, , 
477657, 316025, 53.86, 1.224315, , 
479566, 315944, 53.92, 1.215630, , 
483176, 315893, 53.99, 1.199955, , 
485435, 315913, 54.05, 1.190540, , 
484526, 315878, 54.12, 1.194149, , 
487855, 315866, 54.19, 1.180061, , 
489865, 315863, 54.25, 1.171629, , 
490914, 315858, 54.32, 1.167219, , 
494035, 315875, 54.39, 1.154362, , 
495073, 315877, 54.45, 1.150081, , 
496555, 315903, 54.52, 1.144133, , 
499031, 315920, 54.58, 1.134066, , 
499374, 315911, 54.67, 1.132602, , 
501952, 315984, 54.73, 1.122539, , 
502971, 316060, 54.80, 1.118882, , 
503192, 316049, 54.87, 1.117911, , 
507775, 316112, 54.93, 1.099768, , 
508234, 316054, 55.00, 1.097544, , 
508259, 315942, 55.06, 1.096718, , 
511823, 315908, 55.13, 1.082200, , 
512511, 315963, 55.20, 1.079808, 26, 0.304
513344, 315971, 55.26, 1.076537, , 
513628, 316021, 55.33, 1.075729, , 
515889, 315942, 55.40, 1.066230, , 
516715, 316033, 55.46, 1.063546, , 
518727, 316025, 55.53, 1.055542, , 
519134, 315967, 55.59, 1.053562, , 
519410, 316062, 55.66, 1.053090, , 
520700, 316004, 55.73, 1.047639, , 
522724, 316019, 55.79, 1.039798, , 
523484, 315946, 55.86, 1.036352, , 
525890, 315940, 55.92, 1.026931, , 
526962, 315923, 55.99, 1.022654, , 
526734, 316014, 56.05, 1.024129, , 
528336, 315930, 56.12, 1.017371, , 
530039, 315959, 56.19, 1.010975, , 
529690, 316012, 56.25, 1.012665, , 
532598, 316102, 56.32, 1.002046, , 
532655, 316233, 56.39, 1.002674, , 
533968, 316120, 56.45, 0.996906, , 
535231, 316237, 56.52, 0.992829, , 
534309, 316035, 56.59, 0.995049, , 
535494, 315880, 56.65, 0.989513, , 
536954, 315987, 56.72, 0.984634, , 
537400, 316108, 56.78, 0.983719, , 
540844, 316133, 56.85, 0.970810, , 
541382, 316045, 56.92, 0.968206, , 
539790, 316117, 56.98, 0.974698, , 
543028, 315909, 57.05, 0.961114, , 
542888, 315918, 57.12, 0.961700, , 
543237, 315979, 57.18, 0.960780, , 
546177, 316109, 57.25, 0.950578, , 
545201, 316092, 57.31, 0.954127, 27, 0.302
546058, 316093, 57.38, 0.950920, , 
547890, 316067, 57.45, 0.943899, , 
546916, 316091, 57.51, 0.947695, , 
547572, 316004, 57.58, 0.944679, , 
548168, 316057, 57.65, 0.942796, , 
548025, 316016, 57.71, 0.943064, , 
551712, 315968, 57.77, 0.929034, , 
552446, 316077, 57.84, 0.927019, , 
551204, 316015, 57.91, 0.931223, , 
552873, 316001, 57.97, 0.924946, , 
554490, 316076, 58.04, 0.919456, , 
553900, 316052, 58.11, 0.921479, , 
553855, 316168, 58.17, 0.922396, , 
555888, 316052, 58.24, 0.914149, , 
554688, 316066, 58.31, 0.918661, , 
556448, 316048, 58.37, 0.912063, , 
555847, 315898, 58.44, 0.913302, , 
554990, 316051, 58.50, 0.917450, , 
556448, 316093, 58.57, 0.912354, , 
557610, 316063, 58.64, 0.907891, , 
557468, 316080, 58.70, 0.908523, , 
559572, 316246, 58.77, 0.901889, , 
560423, 316109, 58.84, 0.897893, , 
558396, 316128, 58.90, 0.905430, , 
559627, 316113, 58.97, 0.900827, , 
559400, 316052, 59.03, 0.901262, , 
558889, 316118, 59.10, 0.903560, , 
560208, 316077, 59.17, 0.898471, , 
559492, 316045, 59.23, 0.900881, , 
559745, 316060, 59.30, 0.900053, , 
559337, 316032, 59.37, 0.901363, , 
557641, 316036, 59.43, 0.907603, 28, 0.302
557027, 316032, 59.50, 0.909831, , 
556994, 316146, 59.56, 0.910690, , 
555761, 316106, 59.63, 0.914966, , 
556952, 316091, 59.70, 0.910488, , 
557194, 316179, 59.76, 0.910169, , 
553875, 316128, 59.83, 0.922063, , 
553099, 316167, 59.89, 0.925185, , 
551696, 316279, 59.96, 0.931106, , 
548318, 316301, 60.02, 0.943815, , 
550118, 316247, 60.09, 0.936760, , 
545400, 316141, 60.16, 0.953698, , 
541614, 316073, 60.22, 0.967511, , 
539735, 316143, 60.29, 0.975074, , 
534730, 316278, 60.36, 0.995010, , 
529607, 316300, 60.42, 1.014850, , 
526038, 316266, 60.49, 1.028465, , 
519703, 316334, 60.56, 1.053696, , 
517884, 316384, 60.62, 1.061193, , 
514226, 316356, 60.69, 1.075516, , 
506740, 316209, 60.75, 1.104571, , 
501520, 316238, 60.82, 1.125945, , 
496644, 316208, 60.89, 1.145741, , 
488342, 316316, 60.95, 1.180932, , 
483055, 316129, 61.02, 1.201995, , 
476405, 316110, 61.09, 1.230236, , 
468197, 316073, 61.15, 1.265556, , 
465098, 316180, 61.22, 1.279837, , 
460186, 316132, 61.28, 1.301250, , 
452450, 316253, 61.35, 1.336722, , 
448994, 316261, 61.42, 1.352463, , 
444351, 316111, 61.48, 1.372761, , 
439107, 316137, 61.55, 1.397220, 29, 0.302
438113, 316177, 61.62, 1.402116, , 
435808, 316175, 61.68, 1.412896, , 
428670, 316168, 61.75, 1.446641, , 
428077, 316316, 61.81, 1.450431, , 
424675, 316329, 61.88, 1.466841, , 
421321, 316184, 61.94, 1.482127, , 
422279, 316159, 62.01, 1.477318, , 
419836, 316114, 62.08, 1.488898, , 
418094, 316087, 62.14, 1.497231, , 
420295, 316095, 62.21, 1.486539, , 
416983, 316098, 62.28, 1.502746, , 
417117, 316086, 62.34, 1.502011, , 
417708, 316219, 62.41, 1.499975, , 
417774, 316360, 62.47, 1.500564, , 
420645, 316257, 62.54, 1.485885, , 
421166, 316211, 62.61, 1.483054, , 
419933, 316266, 62.67, 1.489409, , 
423000, 316276, 62.74, 1.474584, , 
423136, 316162, 62.81, 1.473189, , 
424452, 316180, 62.87, 1.466952, , 
430059, 316166, 62.94, 1.440009, , 
428047, 316159, 63.00, 1.449559, , 
430700, 316151, 63.07, 1.436864, , 
434073, 316280, 63.15, 1.421738, , 
433523, 316265, 63.21, 1.424235, , 
435787, 316090, 63.28, 1.412445, , 
438818, 315986, 63.34, 1.397589, , 
438569, 316044, 63.41, 1.399126, , 
443025, 316108, 63.48, 1.378856, , 
445683, 316086, 63.54, 1.366475, , 
445168, 316153, 63.61, 1.369274, , 
448591, 316244, 63.68, 1.354190, 30, 0.303
450559, 316184, 63.74, 1.344845, , 
451077, 316232, 63.81, 1.342805, , 
454206, 316239, 63.87, 1.328706, , 
455913, 316123, 63.94, 1.320280, , 
455149, 316047, 64.01, 1.323219, , 
459660, 316173, 64.07, 1.303856, , 
461507, 316253, 64.14, 1.296168, , 
459552, 316194, 64.20, 1.304472, , 
464468, 316253, 64.27, 1.283082, , 
464745, 316298, 64.33, 1.282154, , 
465403, 316219, 64.40, 1.278748, , 
469074, 316171, 64.47, 1.262361, , 
469999, 316247, 64.53, 1.258822, , 
469511, 316100, 64.60, 1.259996, , 
472721, 316190, 64.67, 1.246637, , 
472869, 316185, 64.73, 1.245964, , 
473027, 316268, 64.80, 1.245818, , 
477781, 316275, 64.86, 1.225402, , 
476703, 316172, 64.93, 1.229357, , 
477871, 316185, 65.00, 1.224434, , 
482217, 316355, 65.06, 1.207010, , 
479560, 316283, 65.13, 1.217849, , 
482368, 316346, 65.20, 1.206311, , 
482824, 316363, 65.27, 1.204488, , 
482989, 316251, 65.34, 1.203064, , 
485706, 316193, 65.40, 1.191211, , 
486346, 316140, 65.47, 1.188174, , 
485113, 316281, 65.54, 1.194280, , 
488306, 316330, 65.60, 1.181174, , 
488538, 316326, 65.67, 1.180176, , 
488121, 316290, 65.73, 1.181690, 31, 0.294
493515, 316180, 65.80, 1.158492, , 
491059, 316219, 65.87, 1.168952, , 
491850, 316352, 65.93, 1.166519, , 
495728, 316333, 66.00, 1.150327, , 
493873, 316261, 66.07, 1.157532, , 
494719, 316332, 66.13, 1.154490, , 
497565, 316321, 66.20, 1.142681, , 
494548, 316252, 66.27, 1.154679, , 
496962, 316194, 66.33, 1.144341, , 
499941, 316188, 66.40, 1.132073, , 
496867, 316227, 66.46, 1.144946, , 
498881, 316288, 66.53, 1.137063, , 
500928, 316314, 66.59, 1.128853, , 
498316, 316203, 66.66, 1.138832, , 
501187, 316122, 66.73, 1.126553, , 
502337, 316199, 66.79, 1.122362, , 
499994, 316265, 66.86, 1.132355, , 
503386, 316298, 66.92, 1.118734, , 
504152, 316327, 66.99, 1.115811, , 
501030, 316253, 67.06, 1.128042, , 
503244, 316241, 67.12, 1.118943, , 
502503, 316218, 67.19, 1.121809, , 
502364, 316222, 67.26, 1.122401, , 
503907, 316148, 67.32, 1.115647, , 
504230, 316213, 67.39, 1.114757, , 
501400, 316178, 67.45, 1.126046, , 
502872, 316181, 67.52, 1.120068, , 
502182, 316094, 67.59, 1.122314, , 
500025, 316075, 67.65, 1.130998, , 
502303, 316151, 67.72, 1.122190, , 
500944, 316201, 67.79, 1.128057, , 
499160, 316177, 67.85, 1.135201, , 
501123, 316296, 67.92, 1.127940, 32, 0.311
496504, 316203, 67.98, 1.146286, , 
495956, 316195, 68.05, 1.148494, , 
494743, 316349, 68.12, 1.154500, , 
492046, 316423, 68.18, 1.166163, , 
491207, 316232, 68.25, 1.168420, , 
488989, 316114, 68.32, 1.176916, , 
484672, 316093, 68.38, 1.194924, , 
483737, 316091, 68.45, 1.198862, , 
480655, 316093, 68.52, 1.211953, , 
475020, 316049, 68.58, 1.235798, , 
476460, 316139, 68.64, 1.230187, , 
470714, 316109, 68.71, 1.254819, , 
467131, 316215, 68.78, 1.271139, , 
466848, 316139, 68.84, 1.271887, , 
459625, 316122, 68.91, 1.303681, , 
455732, 316187, 68.98, 1.321506, , 
454231, 316147, 69.04, 1.327998, , 
447351, 316181, 69.11, 1.359446, , 
446184, 316152, 69.17, 1.364603, , 
444961, 316159, 69.24, 1.370265, , 
438189, 316135, 69.31, 1.401489, , 
436242, 316348, 69.37, 1.411979, , 
431980, 316328, 69.44, 1.431938, , 
428073, 316249, 69.51, 1.450017, , 
427145, 316221, 69.58, 1.454276, , 
424616, 316158, 69.65, 1.466019, , 
420815, 316232, 69.71, 1.484896, , 
420675, 316176, 69.78, 1.485215, , 
419967, 316067, 69.85, 1.487956, , 
414790, 316116, 69.91, 1.513652, , 
415605, 316262, 69.98, 1.510581, 33, 0.294
414128, 316242, 70.04, 1.517736, , 
412764, 316071, 70.11, 1.523380, , 
414636, 316170, 70.18, 1.514762, , 
413362, 316210, 70.24, 1.521317, , 
411840, 316216, 70.31, 1.528903, , 
412830, 316223, 70.38, 1.524036, , 
411210, 316207, 70.44, 1.531978, , 
410914, 316173, 70.51, 1.533231, , 
414650, 316217, 70.57, 1.514997, , 
413122, 316327, 70.64, 1.523262, , 
414465, 316155, 70.71, 1.515509, , 
417278, 316092, 70.77, 1.501261, , 
414627, 316214, 70.84, 1.515091, , 
417146, 316207, 70.91, 1.502652, , 
417978, 316211, 70.97, 1.498601, , 
417672, 316217, 71.03, 1.500139, , 
421633, 316299, 71.10, 1.481356, , 
422588, 316313, 71.17, 1.476818, , 
421782, 316376, 71.23, 1.481131, , 
424632, 316365, 71.30, 1.467281, , 
425031, 316463, 71.37, 1.465993, , 
423997, 316472, 71.43, 1.471035, , 
429941, 316340, 71.50, 1.441696, , 
428227, 316277, 71.56, 1.449462, , 
428531, 316281, 71.63, 1.448036, , 
434054, 316268, 71.70, 1.421750, , 
432567, 316357, 71.76, 1.429347, , 
432217, 316316, 71.83, 1.430738, , 
436664, 316307, 71.90, 1.409735, , 
434385, 316347, 71.96, 1.420701, , 
435861, 316202, 72.03, 1.412822, , 
439869, 316248, 72.10, 1.394391, 34, 0.302
437258, 316369, 72.16, 1.407355, , 
440090, 316423, 72.23, 1.394495, , 
442692, 316301, 72.29, 1.381644, , 
440205, 316283, 72.36, 1.393055, , 
443156, 316277, 72.43, 1.379345, , 
446160, 316334, 72.49, 1.365891, , 
443124, 316310, 72.56, 1.379706, , 
445895, 316276, 72.63, 1.366731, , 
449568, 316346, 72.69, 1.350399, , 
445703, 316346, 72.76, 1.368065, , 
448143, 316239, 72.82, 1.356202, , 
449716, 316361, 72.89, 1.349822, , 
447861, 316298, 72.96, 1.357872, , 
451283, 316336, 73.02, 1.342543, , 
452385, 316308, 73.09, 1.337372, , 
450064, 316280, 73.15, 1.347715, , 
451760, 316262, 73.22, 1.339903, , 
454368, 316176, 73.28, 1.327568, , 
450998, 316202, 73.35, 1.342969, , 
453548, 316139, 73.42, 1.331025, , 
453746, 316273, 73.48, 1.330999, , 
451772, 316396, 73.55, 1.340715, , 
455324, 316323, 73.62, 1.324219, , 
453780, 316365, 73.68, 1.331441, , 
452551, 316513, 73.75, 1.337947, , 
454210, 316331, 73.82, 1.329283, , 
452584, 316322, 73.88, 1.336562, , 
452164, 316264, 73.95, 1.338087, , 
454125, 316429, 74.01, 1.330300, , 
450757, 316435, 74.08, 1.345570, , 
450625, 316256, 74.15, 1.345011, , 
452215, 316337, 74.21, 1.338328, , 
445795, 316311, 74.28, 1.367417, 35, 0.311
449848, 316423, 74.35, 1.349623, , 
447746, 316289, 74.41, 1.358339, , 
442715, 316325, 74.48, 1.381693, , 
445236, 316351, 74.54, 1.370243, , 
442343, 316334, 74.61, 1.383471, , 
