FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
125163, 316026, 8.02, 3.964626, , 
127710, 315831, 8.09, 3.922144, , 
130830, 315846, 8.15, 3.872855, , 
133941, 315845, 8.22, 3.824764, , 
137302, 315784, 8.29, 3.773659, , 
140892, 315922, 8.35, 3.721741, , 
143954, 315869, 8.42, 3.677406, , 
148482, 315945, 8.48, 3.614531, , 
152540, 315882, 8.55, 3.558953, 4, 0.302
156921, 315789, 8.62, 3.500414, , 
161321, 315784, 8.68, 3.443799, , 
166126, 315767, 8.75, 3.383635, , 
170505, 315764, 8.81, 3.330379, , 
176270, 315984, 8.88, 3.263767, , 
180945, 315975, 8.95, 3.210149, , 
185516, 315876, 9.01, 3.158461, , 
190648, 315973, 9.08, 3.103256, , 
195539, 315946, 9.15, 3.051251, , 
200554, 315916, 9.21, 2.999242, , 
206838, 316035, 9.28, 2.936885, , 
212514, 315978, 9.34, 2.881124, , 
219382, 315952, 9.41, 2.815876, , 
226514, 316019, 9.48, 2.750850, , 
232570, 315988, 9.54, 2.696664, , 
239569, 315989, 9.61, 2.636003, , 
246445, 315853, 9.68, 2.577222, , 
252770, 315788, 9.74, 2.524950, , 
260506, 315789, 9.81, 2.463275, , 
267788, 315741, 9.87, 2.406553, , 
274135, 315731, 9.94, 2.358558, , 
281491, 315655, 10.01, 2.303885, , 
288742, 315696, 10.07, 2.252112, , 
296834, 315835, 10.14, 2.196459, , 
304816, 315924, 10.21, 2.142742, , 
312583, 315812, 10.27, 2.090533, , 
319425, 315626, 10.34, 2.045024, , 
327033, 315764, 10.41, 1.997756, , 
334802, 315885, 10.47, 1.950501, , 
